id,hate_feature_phrases_filtered
18532,"['wider audience', 'run money']"
67896,"['unbiased volume', 'lower roi', 'costly roi', 'saw roi', 'week launching', 'paid subscription', 'deal lead']"
177131,"['additional feature', 'feature linkedin', 'linkedin integration', 'nt evaluate']"
179859,"['feature mean', 'mean flow', 'slight hindrance']"
179888,"['least service', 'integrated service']"
182325,"['integrate system', 'passive detractor', 'detractor comment', 'comment doubt', 'doubt help']"
182489,"['little product', 'featurelight future']"
183103,"['hard anything', 'simple explainer', 'show value', 'value functionality']"
183130,['platform develops']
184048,"['product ton', 'ton reporting']"
184054,['think anything']
188630,"['moment product', 'focus breathe', 'air product']"
188638,"['ihas tailor', 'working tailor', 'made approach', 'campaign something', 'product market', 'market product', 'limited practice', 'advisory practice', 'practice organization', 'way implement', 'implement campaign', 'bring client', 'future client', 'campaign execution']"
190023,['found anything']
199474,"['grow feedback', 'feedback user']"
199488,[]
199954,"['newer product', 'bit hand', 'onboarded product', 'saying support']"
201553,['bad experience']
202787,"['lack slack', 'slack integration', 'integration patrick', 'integrated move', 'product engineering', 'engineering side', 'seeing feature']"
276255,"['consider midmarket', 'small granular', 'made granular']"
277667,[]
277668,[]
277669,"['suck customer', 'negative information', 'information allows', 'need work', 'work order']"
280373,"['grid question', 'question validity', 'appear question', 'market presence', 'presence algorithm', 'secret report', 'think report', 'usability ease', 'ease setup', 'larger vendor']"
288758,"['tool month', 'month feeling']"
289187,"['le burden', 'burden customer', 'customer fill']"
293991,[]
296992,['think anything']
297223,"['work product', 'product profile', 'set site']"
297239,"['linkedin log', 'hard work']"
297426,"['low volume', 'working rep', 'find solution', 'solution help', 'help increase', 'increase volume']"
300311,"['thing think', 'think improvement', 'reliability adroll']"
300948,"['enough prominence', 'prominence nt', 'think charity', 'charity donation', 'think way', 'seeing balance', 'company moment', 'single customer', 'customer skew']"
300976,"['category result', 'different product', 'noncompetitive product', 'product category', 'make product', 'hard compare']"
302708,"['grown pricing', 'forecasting harder', 'additional way', 'generate lead', 'lead system', 'core solution', 'solution offering']"
305790,"['setting product', 'profile bit', 'cumbersome page', 'corporate page', 'individual product', 'entire portfolio']"
307360,"['seo penetration', 'least generate', 'category generate', 'organic lead']"
309559,"['star rating', 'rating nt', 'used move', 'drove traffic', 'traffic site']"
320249,['found anything']
329787,"['nt see', 'profile page']"
333833,"['system bit', 'intuitive user', 'cleaner user', 'end user', 'proponent copy', 'take que', 'que yelp', 'tripadvisor term', 'present company', 'company category', 'category list', 'list view', 'think guy', 'respective category', 'product category', 'able rank', 'category bit', 'misleading end', 'think end', 'end user', 'relying site']"
333931,"['question way', 'ongoing feedback', 'feedback customer', 'allow feature']"
334128,"['stronger brand', 'several colleague', 'colleague b2b', 'heard platform', 'take bit', 'gold standard']"
334309,"['dive bit', 'deeper customer', 'customer usage', 'usage case', 'sorting capability', 'capability region', 'region case']"
334965,"['common theme', 'theme export', 'excel csv', 'csv doc']"
335954,['future growth']
336467,"['least program', 'internal resource', 'resource order', 'order garner', 'benefit platform', 'believe pay', 'pay term']"
336576,"['gain visibility', 'visibility training', 'utilize featurestools', 'put place']"
336584,[]
